=== BY CUMULATIVE TIME (top 80) ===
         25611176 function calls (23374641 primitive calls) in 9.061 seconds

   Ordered by: cumulative time
   List reduced from 2299 to 80 due to restriction <80>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    16849    0.114    0.000    0.479    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/shared_defense.py:911(_resolve_overlap_assignments)
    57/31    0.113    0.002    1.141    0.037 /Users/jamesdavies/gob-simplified/venv/lib/python3.13/site-packages/pymongo/helpers.py:316(inner)
        2    0.113    0.057    0.114    0.057 /Users/jamesdavies/gob-simplified/venv/lib/python3.13/site-packages/pymongo/monitor.py:187(_run)
  1205729    0.095    0.000    0.095    0.000 {built-in method builtins.id}
   741841    0.091    0.000    0.091    0.000 {method 'append' of 'list' objects}
      213    0.078    0.000    8.637    0.041 /Users/jamesdavies/gob-simplified/BackEnd/models/turn_manager.py:1428(run_micro_turn)
   620718    0.077    0.000    0.077    0.000 {method 'items' of 'dict' objects}
     8225    0.072    0.000    0.548    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/shared_defense.py:877(_detect_overlapping_zones)
    51/28    0.069    0.001    0.986    0.035 /Users/jamesdavies/gob-simplified/venv/lib/python3.13/site-packages/pymongo/pool.py:1014(receive_message)
    40167    0.063    0.000    0.143    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/shared_defense.py:1521(calculate_defender_coords)
    25146    0.060    0.000    0.372    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/shared_defense.py:720(assign_zone_defender_coords)
   163486    0.057    0.000    0.088    0.000 /usr/local/Cellar/python@3.13/3.13.5/Frameworks/Python.framework/Versions/3.13/lib/python3.13/copy.py:232(_keep_alive)
   292019    0.053    0.000    0.053    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/shared.py:3156(get_away_player_coords)
529827/529620    0.052    0.000    0.103    0.000 {built-in method builtins.next}
   518881    0.048    0.000    0.048    0.000 {built-in method builtins.abs}
   695518    0.044    0.000    0.044    0.000 /usr/local/Cellar/python@3.13/3.13.5/Frameworks/Python.framework/Versions/3.13/lib/python3.13/copy.py:173(_deepcopy_atomic)
   478961    0.044    0.000    0.044    0.000 {built-in method builtins.iter}
    40165    0.034    0.000    0.215    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/shared_defense.py:1858(get_defender_coords)
       90    0.033    0.000    0.113    0.001 /Users/jamesdavies/gob-simplified/BackEnd/models/animator.py:2124(_position_standard_defenders)
      204    0.032    0.000    2.558    0.013 /Users/jamesdavies/gob-simplified/BackEnd/models/animator.py:1273(_build_all_animations)
     8225    0.032    0.000    0.057    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/shared_defense.py:1369(_apply_multi_defender_offsets)
   247403    0.031    0.000    0.048    0.000 {built-in method builtins.min}
   262582    0.031    0.000    0.033    0.000 {built-in method builtins.max}
    56795    0.026    0.000    0.041    0.000 /usr/local/Cellar/python@3.13/3.13.5/Frameworks/Python.framework/Versions/3.13/lib/python3.13/random.py:245(_randbelow_with_getrandbits)
   224528    0.026    0.000    0.026    0.000 {built-in method builtins.getattr}
       57    0.026    0.000    0.026    0.000 {built-in method bson._cbson._decode_all}
  219/207    0.024    0.000    1.691    0.008 /usr/local/Cellar/python@3.13/3.13.5/Frameworks/Python.framework/Versions/3.13/lib/python3.13/ssl.py:1129(read)
      221    0.023    0.000    0.086    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/shared.py:442(calc_skeleton_step_timing_contract)
    33753    0.023    0.000    0.057    0.000 /usr/local/Cellar/python@3.13/3.13.5/Frameworks/Python.framework/Versions/3.13/lib/python3.13/random.py:295(randrange)
      452    0.020    0.000    0.032    0.000 /Users/jamesdavies/gob-simplified/BackEnd/models/team_manager.py:957(get_team_game_stats)
    17366    0.018    0.000    0.032    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/shared.py:333(_extract_step_location_coords)
       71    0.018    0.000    0.018    0.000 {method 'read' of '_io.BufferedReader' objects}
    15236    0.017    0.000    0.024    0.000 /Users/jamesdavies/gob-simplified/BackEnd/engine/pass_contest.py:104(_project_onto_segment)
    13792    0.016    0.000    0.028    0.000 <frozen importlib._bootstrap>:1390(_handle_fromlist)
     3441    0.015    0.000    0.015    0.000 {method 'write' of '_io.TextIOWrapper' objects}
    14013    0.015    0.000    0.024    0.000 /Users/jamesdavies/gob-simplified/BackEnd/models/animator.py:45(_attack_drive_defender_override)
     9095    0.015    0.000    0.046    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/animation_step_helpers.py:352(_ag_grid_per_game_sec)
     3441    0.015    0.000    0.036    0.000 /usr/local/Cellar/python@3.13/3.13.5/Frameworks/Python.framework/Versions/3.13/lib/python3.13/logging/__init__.py:298(__init__)
  219/207    0.014    0.000    1.827    0.009 /usr/local/Cellar/python@3.13/3.13.5/Frameworks/Python.framework/Versions/3.13/lib/python3.13/ssl.py:1289(recv_into)
      204    0.014    0.000    0.021    0.000 /Users/jamesdavies/gob-simplified/BackEnd/models/animator.py:1507(defender_grid_from_animations)
    12250    0.013    0.000    0.057    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/defense_identity.py:271(resolve_to_defense_id)
    98922    0.013    0.000    0.013    0.000 {built-in method builtins.hasattr}
     6994    0.013    0.000    0.014    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/shared_defense.py:658(_find_closest_spot_in_zone_to_point)
     5726    0.013    0.000    0.021    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/shared_defense.py:1816(_apply_defender_posture)
      369    0.012    0.000    0.023    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/shared.py:3582(sync_lineup_coords_from_turn)
     7654    0.012    0.000    0.017    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/animation_step_helpers.py:197(_player_lookup_by_id)
      119    0.011    0.000    2.186    0.018 /Users/jamesdavies/gob-simplified/BackEnd/engine/phase_resolution.py:6169(_resolve_hco_offense_shot_dynamic)
     3441    0.011    0.000    0.022    0.000 /usr/local/Cellar/python@3.13/3.13.5/Frameworks/Python.framework/Versions/3.13/lib/python3.13/logging/__init__.py:1594(findCaller)
    60/51    0.011    0.000    0.317    0.006 /Users/jamesdavies/gob-simplified/venv/lib/python3.13/site-packages/pymongo/socket_checker.py:45(select)
    22335    0.011    0.000    0.030    0.000 /usr/local/Cellar/python@3.13/3.13.5/Frameworks/Python.framework/Versions/3.13/lib/python3.13/random.py:345(choice)
       96    0.010    0.000    0.106    0.001 /Users/jamesdavies/gob-simplified/BackEnd/models/shot_manager.py:584(resolve_shot)
      531    0.010    0.000    0.021    0.000 /Users/jamesdavies/gob-simplified/BackEnd/engine/pressure_step_state.py:150(_players_state)
      107    0.009    0.000    3.768    0.035 /Users/jamesdavies/gob-simplified/BackEnd/engine/phase_resolution.py:7250(resolve_half_court_offense_logic)
   101259    0.009    0.000    0.009    0.000 {built-in method _operator.index}
    39546    0.009    0.000    0.009    0.000 {built-in method builtins.round}
    13519    0.009    0.000    0.013    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/shared.py:2251(derive_pts_from_shooting_stats)
    33753    0.009    0.000    0.066    0.000 /usr/local/Cellar/python@3.13/3.13.5/Frameworks/Python.framework/Versions/3.13/lib/python3.13/random.py:336(randint)
    16849    0.009    0.000    0.014    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/shared_defense.py:937(<genexpr>)
    17050    0.009    0.000    0.010    0.000 /Users/jamesdavies/gob-simplified/BackEnd/engine/attack_drive_clearance.py:74(_home_spot_coords)
    57006    0.008    0.000    0.008    0.000 {method 'lower' of 'str' objects}
  114/104    0.008    0.000    1.936    0.019 /Users/jamesdavies/gob-simplified/venv/lib/python3.13/site-packages/pymongo/network.py:328(_receive_data_on_socket)
    15979    0.008    0.000    0.014    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/shared_defense.py:1137(<genexpr>)
    11319    0.008    0.000    0.012    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/shared_defense.py:1472(verify_defender_closer_to_basket)
12845/4824    0.008    0.000    0.523    0.000 /usr/local/Cellar/python@3.13/3.13.5/Frameworks/Python.framework/Versions/3.13/lib/python3.13/copy.py:192(_deepcopy_list)


