=== BY CUMULATIVE TIME (top 80) ===
         22631266 function calls (20647857 primitive calls) in 7.201 seconds

   Ordered by: cumulative time
   List reduced from 2313 to 80 due to restriction <80>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     3449    0.013    0.000    0.033    0.000 /usr/local/Cellar/python@3.13/3.13.5/Frameworks/Python.framework/Versions/3.13/lib/python3.13/logging/__init__.py:298(__init__)
    14682    0.012    0.000    0.023    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/shared.py:333(_extract_step_location_coords)
      127    0.012    0.000    1.684    0.013 /Users/jamesdavies/gob-simplified/BackEnd/engine/phase_resolution.py:6169(_resolve_hco_offense_shot_dynamic)
    11440    0.011    0.000    0.019    0.000 <frozen importlib._bootstrap>:1390(_handle_fromlist)
     3449    0.011    0.000    0.020    0.000 /usr/local/Cellar/python@3.13/3.13.5/Frameworks/Python.framework/Versions/3.13/lib/python3.13/logging/__init__.py:1594(findCaller)
      203    0.010    0.000    0.015    0.000 /Users/jamesdavies/gob-simplified/BackEnd/models/animator.py:1507(defender_grid_from_animations)
     7154    0.010    0.000    0.031    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/animation_step_helpers.py:352(_ag_grid_per_game_sec)
    11532    0.010    0.000    0.017    0.000 /Users/jamesdavies/gob-simplified/BackEnd/models/animator.py:45(_attack_drive_defender_override)
    81413    0.010    0.000    0.010    0.000 {built-in method builtins.hasattr}
     9597    0.010    0.000    0.013    0.000 /Users/jamesdavies/gob-simplified/BackEnd/engine/pass_contest.py:104(_project_onto_segment)
     8185    0.009    0.000    0.045    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/defense_identity.py:271(resolve_to_defense_id)
32174/31905    0.009    0.000    0.046    0.000 {built-in method builtins.next}
    39396    0.009    0.000    0.009    0.000 {built-in method builtins.round}
       89    0.008    0.000    0.084    0.001 /Users/jamesdavies/gob-simplified/BackEnd/models/shot_manager.py:584(resolve_shot)
      333    0.008    0.000    0.017    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/shared.py:3582(sync_lineup_coords_from_turn)
      108    0.008    0.000    2.787    0.026 /Users/jamesdavies/gob-simplified/BackEnd/engine/phase_resolution.py:7250(resolve_half_court_offense_logic)
     6108    0.008    0.000    0.012    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/animation_step_helpers.py:197(_player_lookup_by_id)
     4256    0.007    0.000    0.008    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/shared_defense.py:631(_find_closest_spot_in_zone_to_point)
13003/5425    0.007    0.000    0.436    0.000 /usr/local/Cellar/python@3.13/3.13.5/Frameworks/Python.framework/Versions/3.13/lib/python3.13/copy.py:192(_deepcopy_list)
    15453    0.007    0.000    0.008    0.000 /Users/jamesdavies/gob-simplified/BackEnd/engine/attack_drive_clearance.py:74(_home_spot_coords)
    83160    0.007    0.000    0.007    0.000 {built-in method _operator.index}
    12062    0.007    0.000    0.010    0.000 /Users/jamesdavies/gob-simplified/BackEnd/utils/shared.py:2251(derive_pts_from_shooting_stats)
    27720    0.007    0.000    0.047    0.000 /usr/local/Cellar/python@3.13/3.13.5/Frameworks/Python.framework/Versions/3.13/lib/python3.13/random.py:336(randint)
    15495    0.007    0.000    0.018    0.000 /usr/local/Cellar/python@3.13/3.13.5/Frameworks/Python.framework/Versions/3.13/lib/python3.13/random.py:345(choice)
       71    0.007    0.000    0.007    0.000 {built-in method marshal.loads}
    49245    0.006    0.000    0.006    0.000 {method 'lower' of 'str' objects}
      333    0.006    0.000    0.042    0.000 /Users/jamesdavies/gob-simplified/BackEnd/models/game_manager.py:789(_append_turn)
     1332    0.006    0.000    0.014    0.000 /Users/jamesdavies/gob-simplified/BackEnd/engine/phase_resolution.py:4855(_hco_step_def_xy)
     2974    0.006    0.000    0.006    0.000 /Users/jamesdavies/gob-simplified/BackEnd/models/player.py:259(_rescale_attributes)
    67234    0.006    0.000    0.006    0.000 {method 'getrandbits' of '_random.Random' objects}
      184    0.005    0.000    7.279    0.040 /Users/jamesdavies/gob-simplified/BackEnd/models/game_manager.py:1391(simulate_macro_turn)
    33903    0.005    0.000    0.005    0.000 {built-in method math.hypot}
      312    0.005    0.000    0.011    0.000 /Users/jamesdavies/gob-simplified/BackEnd/engine/pressure_step_state.py:150(_players_state)
    15343    0.005    0.000    0.019    0.000 /Users/jamesdavies/gob-simplified/BackEnd/engine/attack_drive_clearance.py:86(_spot_display_coords)


